cond_uscm,pH,pressure_mbar,temp_C,depth_m,alt_m
0.19,3.79,954.70,26.80,-0.60,499.00
0.11,3.79,954.60,26.80,-0.60,499.87
0.13,3.79,954.70,26.80,-0.60,499.00
0.15,3.79,954.70,26.80,-0.60,499.00
0.11,3.79,955.20,26.80,-0.59,494.63
0.13,3.79,954.80,26.79,-0.60,498.12
0.08,3.79,955.00,26.79,-0.59,496.38
0.17,3.79,954.80,26.79,-0.60,498.12
0.08,3.79,954.60,26.79,-0.60,499.87
0.08,3.79,954.40,26.79,-0.60,501.62
0.11,3.79,954.90,26.79,-0.59,497.25
0.11,3.79,954.70,26.79,-0.60,499.00
0.13,3.79,954.80,26.79,-0.60,498.12
0.08,3.79,954.70,26.78,-0.60,499.00
0.13,3.79,954.90,26.78,-0.59,497.25
0.13,3.79,954.80,26.78,-0.60,498.12
0.13,3.79,954.20,26.78,-0.60,503.36
0.13,3.79,954.70,26.78,-0.60,499.00
0.15,3.79,954.40,26.78,-0.60,501.62
0.11,3.79,954.70,26.78,-0.60,499.00
0.13,3.79,954.50,26.78,-0.60,500.74
0.11,3.79,954.70,26.78,-0.60,499.00
0.08,3.79,954.60,26.78,-0.60,499.87
0.11,3.79,954.60,26.78,-0.60,499.87
0.11,3.79,954.90,26.78,-0.59,497.25
0.13,3.79,955.10,26.78,-0.59,495.50
0.11,3.79,954.50,26.78,-0.60,500.74
0.11,3.79,954.60,26.78,-0.60,499.87
0.13,3.79,954.90,26.78,-0.59,497.25
0.11,3.79,954.50,26.78,-0.60,500.74
0.13,3.78,955.30,26.78,-0.59,493.76
0.17,3.79,954.90,26.78,-0.59,497.25
0.08,3.79,954.60,26.78,-0.60,499.87
0.11,3.79,955.20,26.79,-0.59,494.63
0.11,3.79,954.70,26.79,-0.60,499.00
0.13,3.79,954.10,26.79,-0.60,504.24
0.13,3.79,954.60,26.79,-0.60,499.87
0.06,3.79,954.30,26.79,-0.60,502.49
0.13,3.79,955.00,26.79,-0.59,496.38
